Card_Type,Name,MagStrip,DoubleSided,Card Type,New Card Type ID,Slot Punch,Overlay,Col/Col,drop ship?,Accessories,grommet,hole punch
111,test,FALSE,TRUE,PVC White,1,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
201,USSCO Corp 26-bit PROX,FALSE,TRUE,USSCO 26-BIT PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
202,USSCO Corp 37-bit PROX,FALSE,TRUE,USSCO 37-BIT PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
219,GPC Wildwood Prox C/BW,FALSE,TRUE,GPC WILDWOOD PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
220,Genuine Auto Parts Stock C/BW,FALSE,TRUE,GENUINE AUTO PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
221,IOM Prox Card NEW YORK,FALSE,TRUE,IOM NY PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
222,Werner Merced Prox Card,FALSE,TRUE,WERNER MERCED PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
225,Sandler & Travis PROX Col/B&W,FALSE,TRUE,SANDLER & TRAVIS PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
226,Monoflo Prox Col/BW,FALSE,TRUE,MONOFLO PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
227,Werner Corp Prox Card,FALSE,TRUE,WERNER CORP PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
228,Eastern Conn PROX Col/BW,FALSE,TRUE,EASTERN CONN PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
229,The ARC Prox C/BW,FALSE,TRUE,THE ARC PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
230,Werner Tyco Badge,FALSE,TRUE,WERNER TYCO PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
231,Col/BW Holo O/L 2-side,FALSE,TRUE,GLOBE HOLOGRAM,3,TRUE,TRUE,FALSE,FALSE,NONE,FALSE,FALSE
232,Guardian Mifare Col/BW Slot-Punch,FALSE,TRUE,GUARDIAN PROX,,TRUE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
233,EnKompas Prox C/B,FALSE,TRUE,ENKOMPASS PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
234,UT Machinery Prox Card C/B,FALSE,TRUE,UT MACHINERY PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
235,LMS Restoration Prox C/B,FALSE,TRUE,LMS RESTORATION PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
236,Glendale Prox C/B,FALSE,TRUE,GLENDALE PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
237,Alpha Recovery Prox C/B,FALSE,TRUE,ALPHA RECOVER PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
238,Ascellon Prox Col/BW,FALSE,TRUE,ASCELLON PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
239,Niksoft Prox C/B,FALSE,TRUE,NIKSOFT PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
240,EBG Law Prox C/B,FALSE,TRUE,EBG LAW PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
241,Ford Idaho Center Prox C/B,FALSE,TRUE,FORD IDAHO CENTER PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
242,MWCD Prox C/B,FALSE,TRUE,MWCD PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
243,Lunar Lines Prox C/B,FALSE,TRUE,LUNAR LINES PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
244,Stein Wiener Prox C/B,FALSE,TRUE,STEIN WIENER PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
245,West Hartford PS Prox C/BW,FALSE,TRUE,WEST HARTFORD PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
246,IOM Prox Card Washington D.C.,FALSE,TRUE,IOM DC PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
247,The Lock Shop Prox C/C,FALSE,TRUE,THE LOCK SHOP PROX,,FALSE,FALSE,TRUE,FALSE,NONE,FALSE,FALSE
320,EMERIT-SlotPunch+WhLanyard-Drop Ship,FALSE,TRUE,PVC White,1,TRUE,FALSE,FALSE,TRUE,WHITE LANYARD,FALSE,FALSE
321,PacPulm C/BW+BLK LANY+ClrVertB.H. DROP-SHIP,FALSE,TRUE,PVC White,1,FALSE,FALSE,FALSE,TRUE,BLK LANY, VERT BH,FALSE,FALSE
322,EMERIT-SlotPunch+WhLanyard+MagClip-DROP SHIP,FALSE,TRUE,PVC White,1,TRUE,FALSE,FALSE,TRUE,CLIP, VERT BH,FALSE,FALSE
